,名前,eng,kata
こだわりハチマキ,こだわりハチマキ,Choice_Band,コダワリハチマキ
こだわりメガネ,こだわりメガネ,Choice_Specs,コダワリメガネ
パンチグローブ,パンチグローブ,Punching_Glove,パンチグローブ
いのちのたま,いのちのたま,Life_Orb,イノチノタマ
とつげきチョッキ,とつげきチョッキ,Assault_Vest,トツゲキチョッキ
しんかのきせき,しんかのきせき,Eviolite,シンカノキセキ
たつじんのおび,たつじんのおび,Expert_Belt,タツジンノオビ
ばんのうがさ,ばんのうがさ,Utility_Umbrella,バンノウガサ
ノーマルジュエル,ノーマルジュエル,Normal_Gem,ノーマルジュエル
くろいメガネ,くろいメガネ,Black_Glasses,クロイメガネ
ようせいのはね,ようせいのはね,Fairy Feather,ヨウセイノハネ
かたいいし,かたいいし,Hard_Stone,カタイイシ
きせきのタネ,きせきのタネ,Miracle_Seed,キセキノタネ
くろおび,くろおび,Black_Belt,クロオビ
じしゃく,じしゃく,Magnet,ジシャク
しんぴのしずく,しんぴのしずく,Mystic_Water,シンピノシズク
するどいくちばし,するどいくちばし,Sharp_Beak,スルドイクチバシ
シルクのスカーフ,シルクのスカーフ,Silk_Scarf,シルクノスカーフ
どくバリ,どくバリ,Poison_Barb,ドクバリ
とけないこおり,とけないこおり,Never_Melt_Ice,トケナイコオリ
のろいのおふだ,のろいのおふだ,Spell_Tag,ノロイノオフダ
やわらかいすな,やわらかいすな,Soft_Sand,ヤワラカイスナ
まがったスプーン,まがったスプーン,Twisted_Spoon,マガッタスプーン
メタルコート,メタルコート,Metal_Coat,メタルコート
もくたん,もくたん,Charcoal,モクタン
りゅうのキバ,りゅうのキバ,Dragon_Fang,リュウノキバ
ぎんのこな,ぎんのこな,Silver_Powder,ギンノコナ
ちからのハチマキ,ちからのハチマキ,Muscle_Band,チカラノハチマキ
ものしりメガネ,ものしりメガネ,Wise_Glasses,モノシリメガネ
